SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Sitara Peroxide,19.71,19.01,21.68,19.01,21.68,  1.97,"831,653"
Wah-Noble,403.45,406.0,406.0,400.1,405.0,  1.55,"3,577"
HBL Growth Fund,16.57,16.6,17.0,16.31,16.7,  0.32,"2,999,481"
HBL Invest Fund,6.01,6.1,6.2,5.9,6.05,  0.04,"952,897"
Tri-Star Mutual,13.01,13.0,13.0,12.1,12.8,  -0.21,"6,903"
Allied Bank LtdXD,173.67,173.99,175.48,173.0,173.3,  -0.33,"40,298"
Askari BankXD,83.40,83.65,86.5,83.0,85.78,  1.98,"7,829,038"
B.O.PunjabXD,18.66,18.97,19.25,18.25,18.65,  0.02,"72,460,270"
Bank Al-Falah,105.56,105.0,106.88,103.92,105.4,  -0.62,"1,343,706"
Bank AL-HabibXD,190.56,190.56,193.98,190.0,193.8,  2.93,"2,064,429"
Bank Makramah,6.69,6.71,6.89,6.51,6.58,  -0.09,"22,900,628"
Bank Of KhyberXD,26.24,25.0,26.65,25.0,25.9,  -0.43,"53,387"
Bankislami PakXD,37.18,37.0,37.0,36.0,36.99,  -0.24,"764,926"
Faysal BankXD,77.20,77.5,77.5,76.43,77.1,  -0.38,"1,402,103"
Habib Bank,264.10,263.99,264.2,261.25,262.79,  -2.26,"772,032"
Habib Metropolitan,119.08,119.99,119.99,117.5,117.8,  -1.26,"27,464"
JS Bank Ltd,15.00,15.2,15.2,14.75,15.13,  0.12,"203,106"
MCB Bank Ltd,356.80,358.87,358.87,355.15,356.5,  -0.36,"170,643"
Meezan Bank Ltd,406.35,409.0,409.0,401.0,405.2,  -2.05,"610,346"
National BankXD,175.95,176.2,179.79,175.0,177.3,  1.36,"4,845,286"
Samba Bank,9.24,9.38,9.79,9.31,9.69,  0.41,"188,980"
Soneri Bank Ltd,22.41,22.4,22.69,22.21,22.38,  -0.09,"420,678"
St.Chart.BankXD,74.10,74.98,74.98,72.16,73.4,  -0.6,"42,205"
United Bank,378.58,379.4,379.4,374.26,376.4,  -3.06,"986,354"
Agha Steel Ind.,9.10,9.02,9.14,9.0,9.09,  -0.04,"1,921,684"
Aisha Steel Mill,14.08,13.65,13.85,13.25,13.52,  -0.54,"13,157,609"
Aisha Steel(CPS),49.89,45.0,53.9,45.0,45.5,  -3.17,"2,738"
Aisha StelCoP/S,30.80,31.8,31.8,27.72,27.72,  -3.05,"6,390"
Amreli Steels,23.23,23.25,23.34,22.92,23.2,  -0.12,"182,142"
Beco Steel Ltd,21.70,21.55,21.55,20.7,21.1,  -0.72,"3,092,992"
Bolan Casting,104.58,105.0,107.0,99.85,103.49,  -1.37,"143,453"
Crescent Steel,104.29,103.21,104.29,103.14,103.8,  -0.53,"163,936"
Dadex Eternit,64.00,63.01,64.0,63.01,63.99,  -0.01,"2,065"
Dost Steels Ltd.,10.17,10.05,10.16,9.6,9.7,  -0.47,"301,351"
Int. Ind.Ltd.,227.04,227.0,229.49,222.11,228.85,  0.73,"157,967"
Inter.Steel Ltd,123.50,123.0,124.5,120.01,123.01,  0.39,"150,087"
Ittefaq Iron Ind,10.18,10.15,10.49,10.0,10.17,  0.03,"642,761"
K.S.B.Pumps,227.83,225.1,233.99,225.1,228.0,  -0.68,"360,604"
Metro Steel,14.50,14.5,14.78,14.37,14.5,  ,"11,045"
Mughal Iron,81.47,81.5,81.89,79.75,80.0,  -1.3,"2,961,924"
Mughal Iron(C),41.18,38.25,42.72,38.25,41.71,  -0.11,"2,330"
Pak Engineering,594.83,556.01,590.98,556.01,576.05,  -15.2,"1,344"
Alfalah Consumer,18.92,18.94,19.02,18.94,19.0,  0.07,"3,500"
HBL Total Treasury,104.85,104.75,104.8,104.75,104.8,  -0.1,"22,400"
JS Global Banking,35.24,34.96,35.27,34.96,35.24,  ,"14,000"
JS Momentum,12.26,12.4,12.4,12.18,12.28,  -0.05,"1,590,500"
Mahaana Islamic,16.47,16.48,16.66,16.31,16.65,  0.15,"254,000"
Meezan Pakistan,19.77,19.75,19.99,19.6,19.85,  0.1,"458,000"
NBP Pakistan G ETF,27.56,0,0,0,0,  ,500
NIT Pakistan,33.31,32.03,34.0,32.03,33.99,  0.59,"10,000"
UBLPakistanETF,35.97,35.85,36.07,35.78,36.0,  0.03,"45,000"
Agritech Limited,72.90,72.5,73.3,72.0,72.0,  -0.71,"277,692"
Arif Habib Corp,13.28,13.2,13.39,13.19,13.25,  -0.01,"1,329,477"
Engro Fertert,214.48,214.5,223.9,214.48,221.5,  6.99,"4,148,240"
